battleLabel,date,date_precision,locationLabel,lat,lon,sultan,sultan_wikidata,part_ofLabel,wikidata_url
Battle of Kriegsdorf,1562-03-14,day,Hodod,47.4033,23.0264,Soliman Iᵉʳ,Q44058,,http://www.wikidata.org/entity/Q1032382
Siege of Malta,1565-05-28,day,Grand Harbour,35.8950,14.5206,Soliman Iᵉʳ,Q44058,Ottoman–Habsburg Wars,http://www.wikidata.org/entity/Q58732
Battle of Obreška,1565-09-20,day,Ivanić-Grad,45.7081,16.3947,Soliman Iᵉʳ,Q44058,,http://www.wikidata.org/entity/Q60766070
Siege of Szigetvár,1566-08-16,day,Szigetvár,46.0475,17.7994,Soliman Iᵉʳ,Q44058,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q606621
Action of 1570,1570-07-25,day,Mediterranean Sea,38.0000,17.0000,Selim II,Q170074,Ottoman–Venetian War of 1570–1573,http://www.wikidata.org/entity/Q16146533
1571 Ottoman attack on Brač,1571-01-01,year,Brač,43.3111,16.6656,Selim II,Q170074,Ottoman–Venetian War of 1570–1573,http://www.wikidata.org/entity/Q97945483
Battle of Lepanto,1571-10-17,day,Nafpaktos,38.3917,21.8275,Selim II,Q170074,Ottoman–Venetian War of 1570–1573,http://www.wikidata.org/entity/Q165425
Battle of Krško (1573),1573-02-15,day,Krško,45.9590,15.4922,Selim II,Q170074,Croatian–Slovene peasant revolt,http://www.wikidata.org/entity/Q61134278
Battle of Stubica,1573-02-19,day,Donja Stubica,45.9833,15.9667,Selim II,Q170074,Croatian–Slovene peasant revolt,http://www.wikidata.org/entity/Q20437661
Battle of Lake Kahul,1574-06-20,day,Lake Kahul,45.3714,28.3968,Selim II,Q170074,Ottoman expedition to Moldavia,http://www.wikidata.org/entity/Q12082738
Battle of Klis,1583-01-01,year,Klis,43.5667,16.5167,Murad III,Q170076,Ottoman–Habsburg Wars,http://www.wikidata.org/entity/Q135688890
Battle of Slunj,1584-10-26,day,Slunj,45.1156,15.5847,Murad III,Q170076,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q17515519
Battle of Brest,1592-07-19,day,Brest Pokupski,45.4533,16.2570,Murad III,Q170076,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q17515442
